order,family,genus,species,name,f_maturity,gestation,litter_size,litters_yr,b_weight,a_weight,longevity_yr
Artiodactyla,Antilocapridae,Antilocapra,americana,Pronghorn,547,235,2,1,3000,46100,15.5
Artiodactyla,Bovidae,Addax,nasomaculatus,Addax,1065,282,1,1,5600,92500,28
Artiodactyla,Bovidae,Aepyceros,melampus,Impala,456,198,1,1,5550,52500,25.6
Artiodactyla,Bovidae,Alcelaphus,buselaphus,Hartebeest,730,247,1,1,9050,159000,22.5
Artiodactyla,Bovidae,Ammodorcas,clarkei,Dibatag,,204,1,,,30500,
Artiodactyla,Bovidae,Ammotragus,lervia,Aoudad,335,149,1.2,2,4500,92500,21.7
Artiodactyla,Bovidae,Antidorcas,marsupialis,Springbok,213,168,1,1,4160,39000,19.8
Artiodactyla,Bovidae,Antilope,cervicapra,Blackbuck,466,168,1,1.9,3850,37500,23.9
Artiodactyla,Bovidae,Beatragus,hunteri,Hirola,,283,1,,8350,159000,
Artiodactyla,Bovidae,Bison,bison,American bison,912,274,1,1,20000,630000,33.5
Artiodactyla,Bovidae,Bison,bonasus,European bison,730,270,1,1,23375,610000,26.4
Artiodactyla,Bovidae,Bos,frontalis,Gaur,590,275,1,0.9,23000,825000,26.2
Artiodactyla,Bovidae,Bos,grunniens,Yak,738,274,1,0.8,18000,667000,26.3
Artiodactyla,Bovidae,Bos,javanicus,Banteng,730,295,1,1,,700000,27.1
Artiodactyla,Bovidae,Bos,sauveli,Kouprey,,260,1,,,800000,
Artiodactyla,Bovidae,Bos,taurus,Domestic cattle,548,277,1,1,,750000,20
Artiodactyla,Bovidae,Boselaphus,tragocamelus,Nilgai,815,255,1.5,1,5875,180000,21.7
Artiodactyla,Bovidae,Bubalus,bubalis,Water buffalo,502,311,1.375,1,37500,725000,34.9
Artiodactyla,Bovidae,Bubalus,depressicornis,Anoa,730,300,1,1,,155000,36.1
Artiodactyla,Bovidae,Bubalus,mindorensis,Tamaraw,,300,1,0.5,,240000,
Artiodactyla,Bovidae,Bubalus,quarlesi,Mountain anoa,,295,1,1,,150000,29.2
Artiodactyla,Bovidae,Budorcas,taxicolor,Takin,730,210,1,1,6000,180000,21.9
Artiodactyla,Bovidae,Capra,caucasica,West Caucasian tur,,157,1,,3850,70000,19.3
Artiodactyla,Bovidae,Capra,cylindricornis,East Caucasian tur,1019,161,1.2,1,3787.5,50000,20.2
Artiodactyla,Bovidae,Capra,falconeri,Markhor,745,163,2,,,41000,19.1
Artiodactyla,Bovidae,Capra,hircus,Domestic goat,406,155,1.5,1,2250,61000,20.8
Artiodactyla,Bovidae,Capra,ibex,Ibex,797,169,1.1,0.8,2850,82500,20.9
Artiodactyla,Bovidae,Capra,nubiana,Nubian ibex,,150,1,,,46250,22.4
Artiodactyla,Bovidae,Capra,pyrenaica,Spanish ibex,548,165,1.5,,,57500,
Artiodactyla,Bovidae,Capra,sibirica,Siberian ibex,,175,,,3640,130000,22.3
Artiodactyla,Bovidae,Capricornis,crispus,Japanese serow,1095,215,1,1,3510.5,80000,24
Artiodactyla,Bovidae,Capricornis,sumatraensis,Serow,912,213,1,1,3500,95000,18.5
Artiodactyla,Bovidae,Cephalophus,dorsalis,Bay duiker,578,236,1,,1610,11600,17.5
Artiodactyla,Bovidae,Cephalophus,jentinki,Jentink's duiker,,,1,,4581,70000.3,21
Artiodactyla,Bovidae,Cephalophus,natalensis,Natal duiker,,213,1,,955,10000,15.2
Artiodactyla,Bovidae,Cephalophus,niger,Black duiker,,128,1,,1940,18100,14.8
Artiodactyla,Bovidae,Cephalophus,nigrifrons,Black-fronted duiker,,,,,,13900,17.9
Artiodactyla,Bovidae,Cephalophus,rufilatus,Red-flanked duiker,270,230,1,,943,13000,15.2
Artiodactyla,Bovidae,Cephalophus,silvicultor,Yellow-backed duiker,,165,1,1,2400,62000,22.5
Artiodactyla,Bovidae,Cephalophus,weynsi,Weyns's duiker,,,,,,,15.2
Artiodactyla,Bovidae,Cephalophus,zebra,Zebra duiker,,227,1,,1707.5,17500.1,
Artiodactyla,Bovidae,Connochaetes,gnou,Black wildebeest,763,259,1,,11000,132250,21.8
Artiodactyla,Bovidae,Connochaetes,taurinus,Blue wildebeest,411,253,1,1,18125,164500,24.3
Artiodactyla,Bovidae,Damaliscus,lunatus,Topi,639,238,1,0.6,11100,110000,23.6
Artiodactyla,Bovidae,Damaliscus,pygargus,Sassaby or blesbok,707,243,1.2,,6792,84500,23
Artiodactyla,Bovidae,Eudorcas,rufifrons,Red-fronted gazelle,,175,1,,,15011,14.5
Artiodactyla,Bovidae,Eudorcas,thomsonii,Thomson's gazelle,365,170,1,1.5,2600,25000,20
Artiodactyla,Bovidae,Gazella,bennettii,Indian gazelle,,,,,,18916.7,
Artiodactyla,Bovidae,Gazella,cuvieri,Cuvier's gazelle,349,171,1.5,,,17500,17.9
Artiodactyla,Bovidae,Gazella,dorcas,Dorcas gazelle,730,182,1,1,1650,14500,23.7
Artiodactyla,Bovidae,Gazella,gazella,Mountain gazelle,476,180,1,1.5,2360,23250,18.3
Artiodactyla,Bovidae,Gazella,leptoceros,Rhim gazelle,157,176,1,,4640,48500,14.6
Artiodactyla,Bovidae,Gazella,spekei,Speke's gazelle,511,197,1,,1253.33,20000,
Artiodactyla,Bovidae,Gazella,subgutturosa,Goitered gazelle,646,175,1.3,1,2625,48500,16.3
Artiodactyla,Bovidae,Hemitragus,hylocrius,Nilgiri tahr,669,188,1.3,,,75000,17.3
Artiodactyla,Bovidae,Hemitragus,jayakari,Arabian tahr,,164,1,,,23000,
Artiodactyla,Bovidae,Hemitragus,jemlahicus,Himalayan tahr,547,183,1,1,2000,35200,21.8
Artiodactyla,Bovidae,Hippotragus,equinus,Roan antelope,730,284,1,,15167,225000,25.9
Artiodactyla,Bovidae,Hippotragus,niger,Sable antelope,768,271,1,1,16375,225000,22.2
Artiodactyla,Bovidae,Kobus,ellipsiprymnus,Waterbuck,771,264,1,1,9000,175333,30
Artiodactyla,Bovidae,Kobus,kob,Kob,403,251,1,1.3,5405,105000,21.9
Artiodactyla,Bovidae,Kobus,leche,Lechwe,898,229,1,,5100,94800,25.4
Artiodactyla,Bovidae,Kobus,megaceros,Nile lechwe,730,235,1,1,5100,90000,21.1
Artiodactyla,Bovidae,Litocranius,walleri,Gerenuk,359,204,1,,,43500,17.3
Artiodactyla,Bovidae,Madoqua,guentheri,Gunther's dik-dik,,178,1,2,681.67,4550,17.5
Artiodactyla,Bovidae,Madoqua,kirkii,Kirk's dik-dik,213,172,1,2,600,5000,17.3
Artiodactyla,Bovidae,Naemorhedus,baileyi,Red goral,,213,1.5,,,28863,19
Artiodactyla,Bovidae,Naemorhedus,caudatus,Chinese goral,,,,,,27000,20.3
Artiodactyla,Bovidae,Naemorhedus,goral,Goral,500,215,1,1,2000,31750,17.6
Artiodactyla,Bovidae,Nanger,dama,Dama gazelle,,208,1,,,73000,19.3
Artiodactyla,Bovidae,Nanger,granti,Grant's gazelle,251,196,1,,5602.5,67000,19.7
Artiodactyla,Bovidae,Nanger,soemmerringii,Soemmering's gazelle,640,190,1,,,48500,15.5
Artiodactyla,Bovidae,Neotragus,moschatus,Suni,183,180,1,,,6500,13.5
Artiodactyla,Bovidae,Neotragus,pygmaeus,Royal antelope,,183,1,,,2250,11.1
Artiodactyla,Bovidae,Oreamnos,americanus,Mountain goat,912,184,1.2,1,3200,90000,20.8
Artiodactyla,Bovidae,Oreotragus,oreotragus,Klipspringer,365,196,1,1,1130,12000,25.9
Artiodactyla,Bovidae,Oryx,dammah,Scimitar-horned oryx,639,247,1,,10317,177500,27.5
Artiodactyla,Bovidae,Oryx,gazella,Gemsbok,550,270,1,1.3,12000,170000,23.8
Artiodactyla,Bovidae,Oryx,leucoryx,Arabian oryx,794,243,1,1,,121350,20.8
Artiodactyla,Bovidae,Ourebia,ourebi,Oribi,304,193,1,1.5,2235,17000,15.9
Artiodactyla,Bovidae,Ovibos,moschatus,Muskox,1096,258,1,0.8,11460,315000,27.4
Artiodactyla,Bovidae,Ovis,ammon,Argali,403,170,1,1,3400,160000,16.8
Artiodactyla,Bovidae,Ovis,aries,Domestic sheep or mouflon,548,146,1.58,1,2370,80000,22.8
Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,707,180,1,1,4400,70275,20.6
Artiodactyla,Bovidae,Ovis,dalli,Dall's sheep,684,173,1,1,2819,73100,19.6
Artiodactyla,Bovidae,Pelea,capreolus,Common rhebok,,261,1,,,25000,
Artiodactyla,Bovidae,Philantomba,maxwellii,Maxwell's duiker,730,120,1,1,832,7000,18.3
Artiodactyla,Bovidae,Philantomba,monticola,Blue duiker,487,193,1,,800,6250,15.9
Artiodactyla,Bovidae,Procapra,gutturosa,Mongolian gazelle,532,185,1.3,1,2900,30000,12
Artiodactyla,Bovidae,Pseudois,nayaur,Bharal,730,160,1.5,,,55000,20.9
Artiodactyla,Bovidae,Raphicerus,campestris,Steenbok,238,197,1,,920,13000,9.3
Artiodactyla,Bovidae,Raphicerus,melanotis,Cape grysbok,,,,,,10249.9,
Artiodactyla,Bovidae,Redunca,arundinum,Southern reedbuck,,224,1,,4500,58000,16.8
Artiodactyla,Bovidae,Redunca,fulvorufula,Mountain reedbuck,388,216,1,1.1,3000,30000,15
Artiodactyla,Bovidae,Redunca,redunca,Bohar reedbuck,502,228,1,,,45500,
Artiodactyla,Bovidae,Rupicapra,pyrenaica,Pyrenean chamois,,,,,,30000,
Artiodactyla,Bovidae,Rupicapra,rupicapra,Chamois,674,122,1,1,2400,37500,17.6
Artiodactyla,Bovidae,Saiga,tatarica,Saiga,331,152,1.7,1,3500,37500,
Artiodactyla,Bovidae,Sylvicapra,grimmia,Bush duiker,255,165,1,1.4,1612,18500,15.4
Artiodactyla,Bovidae,Syncerus,caffer,African buffalo,1475,331,1,0.4,44000,700000,32.8
Artiodactyla,Bovidae,Taurotragus,derbianus,Giant eland,1107,264,1,,,680000,20.3
Artiodactyla,Bovidae,Taurotragus,oryx,Eland,589,274,1,,32000,500000,26.1
Artiodactyla,Bovidae,Tetracerus,quadricornis,Four-horned antelope,365,212,1.5,,1044,19000,17.4
Artiodactyla,Bovidae,Tragelaphus,angasii,Nyala,452,224,1,1.2,5232.5,120000,18.5
Artiodactyla,Bovidae,Tragelaphus,eurycerus,Bongo,806,288,1,0.7,19800,307500,21.9
Artiodactyla,Bovidae,Tragelaphus,imberbis,Lesser kudu,504,235,1,1.3,6000,82500,19.8
Artiodactyla,Bovidae,Tragelaphus,scriptus,Bushbuck,496,188,1,1.5,3800,60000,15.3
Artiodactyla,Bovidae,Tragelaphus,spekii,Sitatunga,401,242,1,1,4000,87500,22.6
Artiodactyla,Bovidae,Tragelaphus,strepsiceros,Greater kudu,517,228,1,1,15000,217500,23.5
Artiodactyla,Camelidae,Camelus,bactrianus,Bactrian camel,1278,395,1,0.5,36000,475000,35.4
Artiodactyla,Camelidae,Camelus,dromedarius,Dromedary,1095,405,1,0.7,37000,434000,28.4
Artiodactyla,Camelidae,Lama,glama,Llama,800,330,1,1,11000,140000,28.9
Artiodactyla,Camelidae,Lama,guanicoe,Guanaco,365,335,1,0.5,11500,127500,33.7
Artiodactyla,Camelidae,Vicugna,pacos,Alpaca,432,345,1.04,,7210,62000,25.8
Artiodactyla,Camelidae,Vicugna,vicugna,Vicugna,730,340,1,0.7,5740,50000,31.6
Artiodactyla,Cervidae,Alces,alces,Moose,751,243,1.3,1,12844,386000,
Artiodactyla,Cervidae,Axis,axis,Chital,766,226,1.03,,3144,36000,20.8
Artiodactyla,Cervidae,Axis,calamianensis,Calamian deer,,224,2,,,40500,17.2
Artiodactyla,Cervidae,Axis,kuhlii,Bawean deer,,227,1.2,1.3,,55000,17.8
Artiodactyla,Cervidae,Axis,porcinus,Hog deer,304,232,1,,2532,43000,22.9
Artiodactyla,Cervidae,Blastocerus,dichotomus,Marsh deer,,270,1,1,4200,102500,
Artiodactyla,Cervidae,Capreolus,capreolus,Western roe deer,413,153,1.6,1,1010,21666.7,17.5
Artiodactyla,Cervidae,Capreolus,pygargus,Eastern roe deer,,294,2,1,1750,39450,
Artiodactyla,Cervidae,Cervus,elaphus,Red deer,852,245,1,0.9,10100,200000,31.5
Artiodactyla,Cervidae,Cervus,nippon,Sika deer,500,210,1,1,5750,42000,26.3
Artiodactyla,Cervidae,Dama,dama,Fallow deer,487,233,1,1,4500,70000,21.1
Artiodactyla,Cervidae,Elaphodus,cephalophus,Tufted deer,639,180,1,,,33500,22.7
Artiodactyla,Cervidae,Elaphurus,davidianus,Pere David's deer,821,288,1,1,11000,186500,27.5
Artiodactyla,Cervidae,Hippocamelus,antisensis,Guemals,,255,1,,,45000,
Artiodactyla,Cervidae,Hippocamelus,bisulcus,Chilean guemal,,198,1,1,3576,70000,
Artiodactyla,Cervidae,Hydropotes,inermis,Chinese water deer,183,190,2.7,,1042,11500,13.9
Artiodactyla,Cervidae,Mazama,americana,Red brocket,395,225,1.3,1,538.5,33000,17.1
Artiodactyla,Cervidae,Mazama,gouazoubira,Gray brocket,395,212,1,,919,17000,14.8
Artiodactyla,Cervidae,Muntiacus,crinifrons,Black muntjac,,196,1,,,18590,
Artiodactyla,Cervidae,Muntiacus,feae,Fea's muntjac,,196,1.2,,,22000,
Artiodactyla,Cervidae,Muntiacus,muntjak,Indian muntjac,272,210,1.17,,1223,21000,18.8
Artiodactyla,Cervidae,Muntiacus,reevesi,Reeves's muntjac,274,199,1,1.5,1050,18000,23.2
Artiodactyla,Cervidae,Odocoileus,hemionus,Mule deer,478,207,1.5,1,2950,57000,22
Artiodactyla,Cervidae,Odocoileus,virginianus,White-tailed deer,309,198,2,1,3000,87000,23
Artiodactyla,Cervidae,Ozotoceros,bezoarticus,Pampas deer,365,213,1,1,2100,32500,21.9
Artiodactyla,Cervidae,Przewalskium,albirostre,Thorold's deer,730,253,1,1,,135000,21.3
Artiodactyla,Cervidae,Pudu,puda,Southern pudu,274,200,1,,900,10000,18.3
Artiodactyla,Cervidae,Rangifer,tarandus,Caribou and reindeer,662,228,1,1,6500,101250,21.8
Artiodactyla,Cervidae,Rucervus,duvaucelii,Barasingha,1095,250,1,,,170000,24.5
Artiodactyla,Cervidae,Rucervus,eldii,Eld's deer,508,241,1,1,4750,122500,20.5
Artiodactyla,Cervidae,Rusa,alfredi,Visayan spotted deer,,243,,,,46475,18.5
Artiodactyla,Cervidae,Rusa,marianna,Philippine deer,,,,,,50000,
Artiodactyla,Cervidae,Rusa,timorensis,Timor deer,464,251,1,1,,63000,21.1
Artiodactyla,Cervidae,Rusa,unicolor,Sambar,650,232,1,1,10000,185000,26.4
Artiodactyla,Giraffidae,Giraffa,camelopardalis,Giraffe,1278,457,1,0.5,58500,800000,39.5
Artiodactyla,Giraffidae,Okapia,johnstoni,Okapi,578,458,1,0.8,16000,225000,33.5
Artiodactyla,Hippopotamidae,Hexaprotodon,liberiensis,Pygmy hippopotamus,1278,199,1,0.4,4900,215000,42.3
Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,Hippopotamus,1279,234,1,0.6,40000,3750000,61.2
Artiodactyla,Moschidae,Moschus,berezovskii,Chinese forest musk deer,540,197,1,1,524,12000,
Artiodactyla,Moschidae,Moschus,chrysogaster,Alpine musk deer,639,188,1,1,800,11000,
Artiodactyla,Moschidae,Moschus,moschiferus,Siberian musk deer,473,162,1.5,1,458.75,10000,
Artiodactyla,Suidae,Babyrousa,babyrussa,Babirusa,548,153,1.3,2,715,71500,22.9
Artiodactyla,Suidae,Hylochoerus,meinertzhageni,Giant forest hog,365,132,5,1,1250,202500,
Artiodactyla,Suidae,Phacochoerus,africanus,Wart hog,578,164,3,1.5,660,100000,20.9
Artiodactyla,Suidae,Potamochoerus,larvatus,Bushpig,,122,2.7,,,87500,
Artiodactyla,Suidae,Potamochoerus,porcus,Red river hog,1096,122,3,,775,88000,22
Artiodactyla,Suidae,Sus,barbatus,Bearded pig,,122,4,1,,102750,16.2
Artiodactyla,Suidae,Sus,salvanius,Pygmy hog,700,108,3,,191.5,8000,14
Artiodactyla,Suidae,Sus,scrofa,Wild boar,334,115,7,1.5,960,130000,27
Artiodactyla,Suidae,Sus,verrucosus,Javan pig,274,120,6,,1000,76000,17
Artiodactyla,Tayassuidae,Catagonus,wagneri,Chacoan peccary,1096,152,2.4,,610,34750,
Artiodactyla,Tayassuidae,Pecari,tajacu,Collared peccary,329,145,2,2,700,20200,31.5
Artiodactyla,Tayassuidae,Tayassu,pecari,White-lipped peccary,548,158,2,,700,22000,28.5
Artiodactyla,Tragulidae,Hyemoschus,aquaticus,Water chevrotain,403,175,1.25,1,,11000,
