"Site" "TotAbund" "Dens" "MeanDepth" "Year" "Period" "Xkm" "Ykm" "SweptArea"
1 76 0.002070281 0.804 1978 1 98.75575222 -57.46692454 36710
2 161 0.003519799 0.808 2001 2 76.80387976 178.6479844 45741.25391
3 39 0.000980515 0.809 2001 2 103.792826 -50.0518375 39775
4 410 0.008039216 0.848 1979 1 91.53226694 146.447969 51000
5 177 0.005933375 0.853 2002 2 107.1441892 -37.07543519 29831.25195
6 695 0.021800502 0.96 1980 1 86.56469785 -48.19806574 31880
7 352 0.009190601 0.977 1981 1 84.2175715 -51.90560926 38300
8 674 0.017616309 0.982 1979 1 90.47901492 -66.73578333 38260
9 624 0.013991031 0.985 1982 1 -5.727701468 203.9148935 44600
10 736 0.013992395 0.986 1980 1 -4.585552076 200.20735 52600
11 332 0.011129268 1 2002 2 75.90372422 161.0927659 29831.25195
12 529 0.013258145 1.016 1983 1 80.608247 -51.90560926 39900
13 355 0.009683579 1.017 1979 1 -16.11460992 179.8158606 36660
14 178 0.005310263 1.024 1978 1 90.47209563 140.8866537 33520
15 60 0.001345291 1.025 1981 1 -5.738294398 194.6460347 44600
16 276 0.005411765 1.027 1980 1 -31.26044392 150.1555125 51000
17 54 0.001559342 1.036 1978 1 64.15523081 -85.27350093 34630
18 264 0.006637335 1.053 2001 2 92.15434888 -29.10421662 39775
19 103 0.002589566 1.065 2001 2 88.57575039 -31.51411991 39775
20 347 0.008381643 1.1 1979 1 -75.19858864 74.15087037 41400
21 168 0.004223759 1.11 2002 2 77.14068591 -36.51930366 39775
22 205 0.002945137 1.144 2001 2 45.74594153 -79.71218565 69606.25781
23 1230 0.030923947 1.2 2002 2 75.64458935 139.5890135 39775
24 100 0.012547051 1.205 1981 1 0 185.3771759 7970
25 332 0.008346952 1.212 2001 2 81.57533715 -20.39148935 39775
26 636 0.020997029 1.217 1982 1 9.188045076 190.9384912 30290
27 665 0.014393939 1.257 1980 1 -26.67766922 140.8866537 46200
28 205 0.005137845 1.263 1979 1 63.59061622 -37.07543519 39900
29 392 0.008197407 1.265 1980 1 58.89197156 -46.34429398 47820
30 141 0.004422836 1.272 1981 1 60.19642256 -55.61315278 31880
31 567 0.013695652 1.284 1982 1 1.151466213 177.9620889 41400
32 185 0.004651163 1.3 2002 2 65.63528076 -17.79620889 39775
33 402 0.008304069 1.312 1980 1 -4.605864854 177.9620889 48410
34 522 0.012608696 1.36 1981 1 -1.151888764 176.1083171 41400
35 72 0.001974744 1.368 2001 2 22.32195649 -61.76767502 36460.41797
36 212 0.005313283 1.379 1981 1 11.50197978 183.5234042 39900
37 421 0.006771755 1.39 1979 1 -17.37954436 146.447969 62170
38 233 0.00468636 1.43 2002 2 57.89880205 -43.37825917 49718.75391
39 249 0.006508102 1.44 1982 1 37.30906912 -53.75938102 38260
40 1026 0.020765027 1.448 1979 1 14.4520613 -57.46692454 49410
41 185 0.004004329 1.452 1982 1 -1.155687327 159.4243713 46200
42 243 0.005639414 1.462 2001 2 39.32517011 159.7951256 43089.58594
43 80 0.001340876 1.5 2001 2 5.778856565 -55.61315278 59662.50391
44 488 0.013311511 1.506 1979 1 -18.57183604 137.1791102 36660
45 151 0.002530903 1.519 2001 2 11.18928745 -52.09098644 59662.50391
46 26 0.000871569 1.521 2001 2 35.65523912 162.3904061 29831.25195
47 1003 0.023303903 1.524 1981 1 6.913867301 174.2545454 43040
48 680 0.015236388 1.527 1982 1 -5.793181452 146.447969 44630
49 225 0.005058453 1.533 1978 1 71.06129762 118.6413926 44480
50 537 0.012090396 1.541 2000 2 65.21470034 127.7063365 44415.41797
51 639 0.016701516 1.587 1981 1 26.4593531 -50.0518375 38260
52 168 0.004582651 1.6 1979 1 31.27014457 -50.0518375 36660
53 271 0.004542216 1.642 2001 2 58.83082612 -18.72309477 59662.50391
54 31 0.00056341 1.648 2001 2 9.361981947 -45.97353963 55022.08594
55 315 0.00706278 1.65 1980 1 22.84346193 -48.19806574 44600
56 135 0.003383459 1.677 1979 1 3.475908871 146.447969 39900
57 376 0.008430493 1.7 1982 1 0 140.8866537 44600
58 669 0.015 1.72 1983 1 33.58824381 148.3017407 44600
59 191 0.004134199 1.742 1982 1 -2.3223203 135.3253384 46200
60 303 0.007039963 1.789 1979 1 -22.87464057 -55.61315278 43040
61 467 0.009156863 1.79 1981 1 35.917725 146.447969 51000
