"pred1"	"pred2"	"out"
"1"	3.8	5.6875	5
"2"	6	6.125	6.33333333333333
"3"	5.4	5.75	6.33333333333333
"4"	4	6.125	6.66666666666667
"5"	6	5.6875	7
"6"	5	4.8125	7
"7"	6.2	6.1875	7
"8"	2	2.1875	2
"9"	3	4	5
"10"	5.4	5.6875	6.33333333333333
"11"	2.4	5.9375	7
"12"	5	5.4375	7
"13"	5.2	4.375	5
"14"	5.6	5.5	7
"15"	3.6	4.5625	7
"16"	2.8	4	4
"17"	5.8	6	7
"18"	3.2	4.6875	6
"19"	7	6.625	7
"20"	4.2	5.4375	7
"21"	5.6	4.25	2
"22"	2.2	2.375	1.66666666666667
"23"	4	4.375	4.33333333333333
"24"	2	4	5
"25"	4.4	4.5625	6
"26"	6.2	5.625	6
"27"	7	4	7
"28"	6	6.1875	7
"29"	1.8	2.875	1
"30"	5.4	5.6875	6.66666666666667
"31"	4.8	5.75	7
"32"	6	6.1875	7
"33"	6.4	6.75	7
"34"	1	2.0625	1
"35"	4.2	5.875	7
"36"	4.8	4.875	7
"37"	4.6	5.875	7
"38"	7	7	7
"39"	4.8	4.1875	6
"40"	5.2	5.0625	5.66666666666667
"41"	3.2	4.875	7
"42"	6	3.9375	7
"43"	1.6	2.8125	6.33333333333333
"44"	6	4.75	5
"45"	4	3.875	1
"46"	5	5.1875	5
"47"	5.2	4.5	4.66666666666667
"48"	1	4.4375	4
"49"	4.2	4.3125	7
"50"	5.8	5.9375	6.33333333333333
"51"	5.4	5	7
"52"	3.2	3.1875	5
"53"	5.6	5.5	7
"54"	2.4	3.625	4
"55"	3.6	3.75	4
"56"	4.8	5.125	6
"57"	5.4	4	6
"58"	4.4	5.5625	6
"59"	1	2.5	1
"60"	7	6.1875	7
"61"	2.8	4.8125	5
"62"	5.6	5.3125	6
"63"	6	5.5	7
"64"	3.6	4.4375	6
"65"	4	4.3125	6
"66"	4.6	4.5	7
"67"	3.6	4.625	6.33333333333333
"68"	3.6	4.9375	7
"69"	4.8	3.75	6
"70"	4	5.375	6
"71"	4.2	3.625	5
"72"	5.6	5.3125	7
"73"	3	3.625	6
"74"	3	4.3125	2.33333333333333
"75"	6	5.8125	7
"76"	5.4	5.5625	7
"77"	2	4.125	3
"78"	4.8	5.4375	6
"79"	6	5.5	7
"80"	3	6.5	7
"81"	4.8	4.3125	7
"82"	5.8	5.75	7
"83"	5	5.5625	7
"84"	4.2	4.125	6
"85"	6.8	7	7
"86"	6	6.1875	7
"87"	3.8	4.875	7
"88"	5	5.625	7
"89"	5.2	5.4375	6
"90"	1.4	2	4.33333333333333
"91"	5.6	4.625	6
"92"	4.8	6.0625	6.66666666666667
"93"	6	5.4375	7
"94"	1.8	2.8125	1.66666666666667
"95"	5.2	4.625	7
"96"	3.4	4.8125	5
"97"	1	1.75	2
"98"	5	4.8125	6
"99"	6	5.875	7
"100"	5	3.9375	6
"101"	4.4	2.8125	4
"102"	6	5.4375	6
"103"	2.4	2.0625	1
"104"	4.4	4.0625	4
"105"	5.8	5.0625	7
"106"	3	3.75	5
"107"	3.8	5.0625	7
"108"	5.4	4.0625	7
"109"	7	6.9375	7
"110"	4.4	4.375	6
"111"	5.2	4.375	5.66666666666667
"112"	6.4	6.3125	7
"113"	4	4.1875	7
"114"	1	1	1
"115"	6	5.125	7
"116"	1.4	3.3125	7
"117"	5	4.375	5.66666666666667
"118"	5.6	4.75	6
"119"	5.4	5.25	6
"120"	4.4	4.6875	7
"121"	3	4.625	5
"122"	5.2	5.4375	7
"123"	5.2	4.6875	7
"124"	3	4.1875	3
"125"	4	3.9375	5
"126"	3.6	4.375	6.33333333333333
"127"	6	5.4375	6
"128"	5.2	6.1875	7
"129"	5.4	5.125	7
"130"	2.6	2.6875	1
"131"	4	4	4
"132"	5	5.5625	6
"133"	1.6	3.6875	1
"134"	4.2	4.0625	5.33333333333333
"135"	7	7	7
"136"	7	5.375	6
"137"	3.4	5.3125	4.33333333333333
"138"	4.4	5.1875	4
"139"	3.6	4.1875	6
"140"	4.4	4.25	5.33333333333333
"141"	5.2	3.625	2
"142"	6	6.0625	7
"143"	2.6	3.625	4.33333333333333
"144"	3	4.1875	1
"145"	6	6.75	7
"146"	4.6	5.375	7
"147"	5.2	5.4375	7
