,Achnanthes,Achnanthidium,Amphora,Ankistrodesmus,Ankyra,Aphanocapsa,Aphanochaete,Aphanothece,Aulacoseira,Botryococcus,Bumilleriopsis,Chamaesiphon,Characiochloris,Characiopsis,Characium,Chlamydomonas,Chromulina,Chroomonas,Closteriopsis,Closterium,Cocconeis ,Cosmarium,Cryptomonas,Cyclotella,Cymbella,Denticula,Diadesmis,Encyonema,Epithemia ,Euglena,Eunotia,Fragilaria,Frustulia,Gomphonema,Gomphosphaeria,Gymnodinium,Gyrosigma,Haematococcus,Hapalosiphon,Hydrococcus,Katodinium,Kirchneriella,Lagerheimia,Lyngbya,Melosira,Meridion,Merismopedia,Microcystis,Microthamnion,Monoraphidium,Mougeotia,Navicula,Netrium,Nitzschia,Nostoc,Oedogonium,Ophiocytium,Oscillatoria,Pandorina,Pediastrum,Phacus,Phormidium,Pinnularia,Protoderma,Pseudostaurosira,Quadrigula,Radiococcus,Rhabdoderma ,Rhoicosphenia,Scenedesmus,Spirulina,Staurosirella,Stephanodiscus,Stichococcus,Surirella,Synedra,Synura,Tetraedron,Tetrastrum,Trachelomonas,Treubaria,Unknown
ABRC,0,0,10666095507,0,0,0,0,0,0,0,0,0,0,187723284,0,0,0,0,0,0,8696345660,254835639.9,0,0,802068655.4,0,250297712,0,0,0,0,2200468869,0,1855644724,0,0,104075975.3,0,0,0,0,4171628.533,0,0,0,0,0,0,0,117664585.7,0,13223932086,0,94112773.31,0,0,0,7640773444,0,0,0,0,1650051796,0,0,93909249.98,0,0,505039603.3,242859754.8,0,0,0,53172620.19,0,6217586476,0,0,0,0,0,952369058.9
ABRX,0,0,3365798818,0,0,0,0,0,0,0,0,0,0,232444996.9,0,0,0,0,0,0,25868114981,0,0,0,7128532578,0,0,0,0,0,0,0,0,3481974863,0,826890298.3,0,0,0,0,0,18165146.06,0,0,0,0,0,0,0,20910362.23,0,2822011399,0,114787652.8,780951948.4,0,0,6376099409,0,52534394.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456957216.6,0,0,0,4533576610
ALBC,24150399.74,0,130541370.9,0,0,0,220303788.5,0,0,0,0,0,0,0,0,0,0,1458574370,0,0,37845202940,0,0,0,0,0,0,0,0,0,0,2039653377,0,1740818683,0,0,0,0,0,0,0,0,0,941925709.7,0,0,0,0,0,37494649.27,0,0,0,486987322,0,0,0,142779290.6,0,0,0,0,0,0,0,0,0,0,2296519003,0,0,0,0,0,0,0,0,0,0,0,0,240795923.6
ALBX,0,0,0,0,0,0,0,0,0,0,0,0,0,6682898385,0,0,0,2710585310,0,0,1.00E+11,0,0,0,0,0,0,0,0,0,0,0,0,5813564942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120689361.9,0,0,0,0,0,0,0,0,0,0,0,1445449200,0,0,0,0,0,0,0,0,0,0,0,1337184031
ALC,0,0,0,0,0,20772708078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93167399941,0,0,0,0,0,0,0,0,0,0,0,0,1373307261,0,0,0,1149566686,0,0,0,0,0,0,0,0,0,0,0,0,0,9837336087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043806737,0,0,0,0,0,0,0,0,0,1939893783,0,0,15558554852
ALCAC,0,0,0,0,0,14441641978,0,0,0,0,0,0,0,467882953.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29E+11,81497754.39,0,0,0,0,0,0,0,81150240610,0,0,0,0,0,0,0,0,0,21053765.4,0,0,0,0,65985197.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32219334.94,3830500193
ALCAX,0,45309574.45,0,0,0,0,0,0,0,0,0,0,0,75515957.42,0,0,717824510.1,0,0,0,36450797487,0,0,0,0,0,0,0,0,2820692381,29751582241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214800945.5,0,268501181.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22348395986
ALX,0,0,0,0,0,9145209898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96293425334,0,0,0,0,0,0,0,0,0,0,0,0,508190991.3,0,0,0,274619050.6,0,0,0,0,0,0,3996962562,0,0,0,0,0,0,3988416181,0,86618272.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151977828,0,0,0,0,0,0,0,0,0,0,0,0,3542507212
APGC,0,0,0,0,0,0,0,0,0,0,0,0,0,173559812.4,0,0,0,0,0,0,27891756093,0,0,0,0,0,0,0,1062318709,0,0,0,0,1576551662,0,0,336543965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3922798880,0,608175277.6,0,431122574,0,1156494644,0,0,0,0,0,0,0,0,0,0,4278213339,0,0,0,0,0,0,125666957,0,0,0,48436056316,0,13272965826
APGX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18152774937,0,0,0,0,0,0,0,0,0,0,993663556.9,0,681482575.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66928472.13,0,0,0,64412031.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293443508,0,2329709905
