pop1	pop2
103103	104105
104104	106105
104103	104104
103103	105103
102104	105104
102102	106104
101102	103106
102101	105103
103103	104104
103102	105106
103103	104104
104104	103105
103102	104105
102104	105103
104104	106104
103104	104106
103102	104106
103104	105106
104103	105106
103102	106106
104104	105105
103104	105106
104103	103104
101101	103105
102103	103104
104103	103103
104101	105105
102103	105104
102103	103106
102102	105105
102102	104106
103102	103106
104103	105104
102104	105105
103104	104105
104102	104105
102101	105104
101101	105105
103101	106104
103104	103103
102104	106106
103101	106104
104103	105105
103103	103103
102101	104104
104103	105103
102102	105106
102104	104106
104103	105103
102102	104106
102104	103105
102103	106104
101104	105104
103103	106105
103103	105104
104104	104104
102102	106103
104103	106103
101102	105105
102101	104106
103101	103105
104101	105105
103102	103106
101101	106103
102101	105106
101102	106105
104101	105105
103102	104104
104102	104105
101101	103103
104103	105104
101103	105105
103104	103104
101101	103105
101101	105106
102101	106103
103101	106105
101104	105105
104102	106105
103104	103106
102104	103103
102103	106104
102103	103103
101101	104103
102104	103103
101103	103103
101102	106103
101103	106106
104101	106106
104103	104103
104103	105106
101102	106103
102102	105106
104101	106104
102101	106105
101101	106104
103104	104106
102103	103104
104101	105106
101101	103103
103101	103103
102102	103105
104103	105104
101103	103103
101102	106104
103103	103104
102101	106106
103103	103106
102104	103104
103104	106104
101102	106105
101104	103103
102102	103105
102103	104106
103101	105105
101102	104103
102101	103104
103102	103104
101102	105104
101101	104103
102104	103105
103102	103104
104102	106105
103101	106106
103103	103103
101101	103104
101104	103106
102101	106103
101104	103103
104104	105104
102101	105103
102103	106105
102104	106106
103101	105103
104101	106106
104101	105105
101102	103105
101102	106104
103102	105105
102101	105105
101101	103105
102101	103104
103104	105103
103101	106103
102101	106105
102101	105104
103104	103103
103104	105103
104103	105106
101101	105104
103104	105106
103103	106104
104102	105106
101104	103106
103102	103106
102103	103103
101101	105103
101102	104105
104103	105106
104101	103104
103102	103105
101103	105106
101104	106105
101102	104104
103101	106104
104102	104105
102104	106104
101104	106104
104104	104105
104102	106105
104101	105104
102103	103104
104101	103103
101104	105103
102102	103106
102104	106105
103102	105105
103104	106104
101102	104103
103104	103103
103102	103103
101102	103104
101101	104104
103104	106105
102102	105103
103101	105104
102103	106103
104104	103106
104104	104104
101101	103104
101103	106106
103101	105106
101102	105105
101102	106104
102103	105106
103101	103106
103101	103104
102102	103106
101104	106103
103102	105106
101103	104104
102103	105103
104103	105106
103103	106104
103103	105103
102101	106103
103101	103104
103102	103104
101102	105103
102103	105105
101101	105105
103103	105105
102102	104103
104102	106104
102102	105105
102104	105105
101103	106103
104103	105104
101103	105104
101103	103104
104101	106105
104104	105103
103102	104105
101104	104106
101103	106104
104101	106104
104101	106105
104101	104105
103101	103106
104102	103104
103103	106105
101104	106106
101104	105105
104104	103103
102103	104106
103101	105106
103103	104103
102101	106105
103104	106103
104103	105103
104104	105104
104104	104103
102103	106106
101103	105106
102101	103103
103102	105103
103101	104105
101101	106105
102104	103104
101101	103103
104103	104106
104103	105106
104104	104104
104103	104106
101101	104106
101101	106104
104103	105106
101102	104104
102101	103105
102102	104106
101101	105105
103103	104104
101104	105106
102104	104103
102104	106105
103102	103105
103101	105103
104102	103105
101101	105103
101102	103104
101102	105104
101101	104105
103102	106103
104103	105105
104102	105105
104104	106104
104104	105103
103102	103104
103102	104105
103104	104103
103104	104103
101103	105103
102101	105105
104101	104104
101104	104103
101103	105104
103102	105106
104102	105106
101104	106105
101101	103103
102104	106104
103103	104106
103102	106106
102104	106103
104101	106104
103103	105103
101103	105105
102104	103104
103102	104104
103104	104103
101101	103104
101104	105106
103102	105105
104104	105105
101104	106106
102102	104105
104102	106106
104104	104104
102103	103104
102101	106103
102104	106103
101104	106106
102102	104104
103104	105103
103102	105103
103104	103105
103101	105104
104104	105103
104101	103106
103102	104105
102101	103104
103103	105103
103102	106104
104102	105103
101101	104105
103102	106103
103103	105106
103101	103105
103103	106106
101103	105106
103103	104105
101103	103103
104101	105106
103102	106106
103102	106103
103102	105105
103101	104106
101101	105106
102101	106103
103102	106103
102103	103106
102104	105105
102103	106105
103103	105104
101104	104105
101103	106106
101101	106103
102104	103105
103102	104104
102103	105105
103102	106106
103102	103105
104103	104106
104104	103103
103101	106104
101102	105106
104102	104105
102102	106105
103102	104105
104104	104104
102101	105106
103103	104104
103101	104105
103101	105105
103101	103106
102101	104103
104101	105106
101104	105104
102102	103103
102103	103104
103101	103106
104103	106106
103101	106103
103103	105104
104103	103104
104102	105106
101104	106103
104102	106106
102101	104103
104104	105103
104102	105104
104103	104104
102104	105106
104101	104103
102104	105105
104103	103105
104103	103106
103104	106105
102101	103103
104104	104103
101103	104104
101104	104104
104104	105106
103104	103105
103102	106105
104102	105103
102104	103104
103103	105104
103101	106106
103104	106103
103102	103104
104103	106106
103102	106105
104101	105105
104103	103103
102101	103103
104103	106103
103101	104106
101102	103104
102101	103105
103103	106106
101104	106104
101101	106104
103102	105104
101103	105105
101102	104104
103101	105106
101101	104105
102103	105106
104104	104105
101102	106106
102102	106103
102103	105105
103101	104105
104104	103103
103104	106106
103101	103105
104102	104104
103104	104104
103103	105104
104104	105105
104102	103106
103103	105103
103102	104106
104104	103104
103104	104104
104102	106105
103101	105105
103103	106106
104104	103103
102101	103105
103103	104104
101101	103104
103102	106103
102102	106105
103101	105104
102102	104105
103103	105104
102104	106105
103101	106105
103101	104103
103103	104103
104104	104103
104104	106104
103101	103103
102104	106104
101101	105106
102102	105104
103101	106104
103102	105103
104101	103104
102103	106106
104104	103105
103104	106106
104101	103105
104103	106106
104104	104103
104101	104104
101102	106105
103102	103106
101104	106105
103101	104103
102101	104104
102103	105106
103102	105103
101102	103103
102103	105106
104101	103103
103103	104106
104104	105104
101104	104105
104101	105103
101101	105103
102103	103104
101104	105103
103102	103106
103103	103104
104102	103104
103103	106104
102104	106103
104104	106104
102104	104104
101101	103103
103101	103106
102103	106103
104104	103103
101101	105106
104102	106105
103103	104104
102103	104104
