course	gender
Medicine	F
Science	M
Medicine	M
Medicine	F
Medicine	M
Medicine	M
Humanities	F
Humanities	F
Medicine	F
Medicine	M
Medicine	M
Medicine	M
Medicine	M
Medicine	M
Medicine	F
Medicine	F
Humanities	F
Humanities	F
Humanities	F
Medicine	F
Medicine	M
Medicine	M
Medicine	M
Medicine	F
Medicine	M
Medicine	M
Medicine	F
Art	F
Medicine	M
Medicine	F
Medicine	M
Science	M
Medicine	M
Science	M
Science	M
Medicine	M
Medicine	F
Science	M
Medicine	F
Medicine	M
Medicine	M
Medicine	M
Medicine	M
Humanities	F
Humanities	F
Medicine	F
Medicine	F
Medicine	F
Humanities	F
Medicine	F
Medicine	M
Medicine	M
Medicine	M
Medicine	F
Medicine	F
Medicine	M
Medicine	M
Medicine	M
Medicine	M
Humanities	F
Medicine	M
Medicine	M
Medicine	F
Medicine	F
Art	F
Medicine	F
Medicine	F
Humanities	F
Medicine	M
Medicine	M
Medicine	M
Medicine	F
Medicine	F
Medicine	M
Humanities	M
Medicine	M
Medicine	F
Medicine	M
Medicine	F
Medicine	F
Science	M
Medicine	F
Medicine	M
Science	M
Medicine	M
Medicine	M
Medicine	M
Medicine	M
Medicine	M
Medicine	F
Medicine	M
Science	M
Humanities	F
Humanities	M
Medicine	F
Medicine	M
Medicine	M
Medicine	F
Science	M
Science	M
Medicine	F
Medicine	F
Medicine	M
Humanities	F
Humanities	M
Medicine	M
Medicine	M
Medicine	M
Medicine	F
Medicine	F
Medicine	F
Humanities	F
Medicine	M
Humanities	F
Humanities	F
Medicine	F
Medicine	M
Medicine	M
Humanities	M
Humanities	F
Medicine	M
Medicine	M
Humanities	F
Medicine	M
Medicine	M
Science	M
Medicine	M
Medicine	M
Science	M
Medicine	M
Humanities	F
Medicine	M
Medicine	F
Medicine	F
Medicine	F
Medicine	F
Science	M
Humanities	M
Humanities	M
Medicine	M
Medicine	M
Science	M
Medicine	M
Medicine	M
Medicine	F
Medicine	F
Medicine	F
Medicine	M
Medicine	F
Humanities	M
Medicine	M
Medicine	M
Medicine	F
Medicine	M
Medicine	M
Medicine	F
Medicine	F
Humanities	F
Humanities	F
Medicine	M
Humanities	F
Medicine	M
Medicine	M
Medicine	M
Humanities	F
Medicine	F
Medicine	F
Medicine	M
Medicine	M
Humanities	F
Medicine	F
Art	F
Humanities	F
Medicine	M
Medicine	M
Medicine	M
Art	M
Medicine	F
Medicine	M
Humanities	F
Medicine	F
Medicine	M
Science	M
Medicine	F
Medicine	F
Medicine	F
Medicine	M
Medicine	F
Medicine	M
Medicine	M
Medicine	M
Medicine	M
Medicine	M
Medicine	F
Medicine	M
Science	M
Medicine	F
Medicine	F
Medicine	M
Medicine	M
Humanities	F
Medicine	F
Medicine	F
Humanities	M
Humanities	F
Science	M
Medicine	M
Science	M
Medicine	M
Medicine	M
Humanities	F
Medicine	M
Medicine	M
Medicine	F
Medicine	F
Medicine	M
Science	M
Medicine	M
Medicine	M
Medicine	F
