Locus	Mean	Low	Hi
MHC1	0.4869	0.4726	0.4989
SSAD71	0.332	0.3153	0.3444
TAP2A	0.2742	0.2665	0.2921
BG9335488	0.274	0.2608	0.2889
SSA410	0.5342	0.5111	0.5511
STR3	0.3384	0.3287	0.3519
CA060177	0.3736	0.3548	0.4018
SSA197	0.214	0.2024	0.2346
SSA85	0.2423	0.2272	0.2528
ONE102A	0.1206	0.1074	0.1321
ONE102B	0.4474	0.4341	0.4558
SSA406	0	0	0
CA054565	0.0371	0.0355	0.0389
ppSTR2	0.3918	0.3747	0.4162
SSA416	0.0214	0.0172	0.025
ONE103	0.0989	0.0883	0.1089
Cocl_Lav_4	0.3374	0.3171	0.3553
ONE9UASC	0.2133	0.2028	0.2297
CA048828	0.5989	0.5744	0.6166
CA053293	0.1623	0.1448	0.1701
One108	0	0	0
