Site	Alkalinity	TP	TSP	TON	DOC	plant_richness
A	2.23	192	185.2	0.02	5.7	3
A	0.6	18	11.2	0.02	12.3	4
A	2.08	148	141.2	0.04	10.5	5
A	0.64	23	16.2	0.04	11.9	6
A	2.16	212	208	0.08	9.1	7
A	0.63	81	77	0.27	12.5	6
A	1.82	1054	1050	0.81	18.2	8
A	1.9	1168	1164	1.17	13.4	8
A	1.81	925	920	2.19	12.9	12
B	2.17	151	146	0.02	9.8	10
B	1.78	342	337	0.02	16.4	9
B	2.46	422	418.6	0.02	8.7	8
B	2.23	132	128.6	0.03	9.4	6
B	2.16	204	200.6	0.07	10.4	5
B	1.06	348	344.6	0.23	18.9	6
B	1.89	241	237.6	1.18	8.5	5
B	1.55	201	195	1.3	15	3
B	2.19	284	278	3.38	13.9	2
