"Farm","Hedge","Beetles","Management"
"Kellys","A",3,"None"
"Keenans","B",3,"None"
"Bovys","C",2,"None"
"Ravinets","D",3,"None"
"Emmersons","E",3,"None"
"Kellys","F",4,"None"
"Keenans","G",4,"None"
"Bovys","H",2,"None"
"Ravinets","I",2,"None"
"Emmersons","J",4,"None"
"Kellys","A",3,"None"
"Keenans","B",3,"None"
"Bovys","C",4,"None"
"Ravinets","D",3,"None"
"Emmersons","E",4,"None"
"Kellys","F",3,"None"
"Keenans","G",4,"None"
"Bovys","H",6,"None"
"Ravinets","I",6,"None"
"Emmersons","J",1,"None"
"Kellys","A",5,"None"
"Keenans","B",1,"None"
"Bovys","C",2,"None"
"Ravinets","D",3,"None"
"Emmersons","E",3,"None"
"Kellys","F",2,"None"
"Keenans","G",2,"None"
"Bovys","H",1,"None"
"Ravinets","I",3,"None"
"Emmersons","J",8,"None"
"Kellys","A",2,"None"
"Keenans","B",5,"None"
"Bovys","C",4,"None"
"Ravinets","D",3,"None"
"Emmersons","E",5,"None"
"Kellys","F",3,"None"
"Keenans","G",2,"None"
"Bovys","H",4,"None"
"Ravinets","I",4,"None"
"Emmersons","J",6,"None"
"Kellys","A",2,"None"
"Keenans","B",3,"None"
"Bovys","C",4,"None"
"Ravinets","D",2,"None"
"Emmersons","E",2,"None"
"Kellys","F",3,"None"
"Keenans","G",3,"None"
"Bovys","H",2,"None"
"Ravinets","I",1,"None"
"Emmersons","J",4,"None"
"Kellys","A",1,"None"
"Keenans","B",2,"None"
"Bovys","C",1,"None"
"Ravinets","D",3,"None"
"Emmersons","E",7,"None"
"Kellys","F",5,"None"
"Keenans","G",2,"None"
"Bovys","H",5,"None"
"Ravinets","I",2,"None"
"Emmersons","J",2,"None"
"Kellys","A",6,"None"
"Keenans","B",0,"None"
"Bovys","C",3,"None"
"Ravinets","D",7,"None"
"Emmersons","E",1,"None"
"Kellys","F",4,"None"
"Keenans","G",4,"None"
"Bovys","H",3,"None"
"Ravinets","I",3,"None"
"Emmersons","J",1,"None"
"Kellys","A",4,"None"
"Keenans","B",5,"None"
"Bovys","C",2,"None"
"Ravinets","D",2,"None"
"Emmersons","E",2,"None"
"Kellys","F",2,"None"
"Keenans","G",5,"None"
"Bovys","H",3,"None"
"Ravinets","I",3,"None"
"Emmersons","J",2,"None"
"Kellys","A",3,"None"
"Keenans","B",1,"None"
"Bovys","C",4,"None"
"Ravinets","D",2,"None"
"Emmersons","E",1,"None"
"Kellys","F",2,"None"
"Keenans","G",4,"None"
"Bovys","H",4,"None"
"Ravinets","I",2,"None"
"Emmersons","J",7,"None"
"Kellys","A",2,"None"
"Keenans","B",4,"None"
"Bovys","C",4,"None"
"Ravinets","D",9,"None"
"Emmersons","E",1,"None"
"Kellys","F",2,"None"
"Keenans","G",0,"None"
"Bovys","H",3,"None"
"Ravinets","I",5,"None"
"Emmersons","J",4,"None"
"Kellys","A",1,"None"
"Keenans","B",5,"None"
"Bovys","C",1,"None"
"Ravinets","D",5,"None"
"Emmersons","E",6,"None"
"Kellys","F",5,"None"
"Keenans","G",4,"None"
"Bovys","H",5,"None"
"Ravinets","I",5,"None"
"Emmersons","J",4,"None"
"Kellys","A",3,"None"
"Keenans","B",5,"None"
"Bovys","C",0,"None"
"Ravinets","D",2,"None"
"Emmersons","E",1,"None"
"Kellys","F",3,"None"
"Keenans","G",7,"None"
"Bovys","H",5,"None"
"Ravinets","I",3,"None"
"Emmersons","J",2,"None"
"Kellys","A",5,"None"
"Keenans","B",4,"None"
"Bovys","C",5,"None"
"Ravinets","D",2,"None"
"Emmersons","E",4,"None"
"Kellys","F",1,"None"
"Keenans","G",6,"None"
"Bovys","H",4,"None"
"Ravinets","I",2,"None"
"Emmersons","J",6,"None"
"Kellys","A",4,"None"
"Keenans","B",2,"None"
"Bovys","C",2,"None"
"Ravinets","D",3,"None"
"Emmersons","E",4,"None"
"Kellys","F",3,"None"
"Keenans","G",4,"None"
"Bovys","H",9,"None"
"Ravinets","I",6,"None"
"Emmersons","J",2,"None"
"Kellys","A",3,"None"
"Keenans","B",5,"None"
"Bovys","C",1,"None"
"Ravinets","D",5,"None"
"Emmersons","E",4,"None"
"Kellys","F",4,"None"
"Keenans","G",3,"None"
"Bovys","H",3,"None"
"Ravinets","I",4,"None"
"Emmersons","J",2,"None"
"Kellys","A",2,"None"
"Keenans","B",3,"None"
"Bovys","C",3,"None"
"Ravinets","D",1,"None"
"Emmersons","E",2,"None"
"Kellys","F",1,"None"
"Keenans","G",0,"None"
"Bovys","H",5,"None"
"Ravinets","I",2,"None"
"Emmersons","J",3,"None"
"Kellys","A",3,"None"
"Keenans","B",5,"None"
"Bovys","C",3,"None"
"Ravinets","D",3,"None"
"Emmersons","E",3,"None"
"Kellys","F",2,"None"
"Keenans","G",3,"None"
"Bovys","H",5,"None"
"Ravinets","I",3,"None"
"Emmersons","J",3,"None"
"Kellys","A",6,"None"
"Keenans","B",9,"None"
"Bovys","C",1,"None"
"Ravinets","D",2,"None"
"Emmersons","E",1,"None"
"Kellys","F",4,"None"
"Keenans","G",2,"None"
"Bovys","H",8,"None"
"Ravinets","I",5,"None"
"Emmersons","J",1,"None"
"Kellys","A",2,"None"
"Keenans","B",2,"None"
"Bovys","C",4,"None"
"Ravinets","D",3,"None"
"Emmersons","E",4,"None"
"Kellys","F",4,"None"
"Keenans","G",5,"None"
"Bovys","H",3,"None"
"Ravinets","I",4,"None"
"Emmersons","J",1,"None"
"Kellys","A",2,"None"
"Keenans","B",1,"None"
"Bovys","C",3,"None"
"Ravinets","D",2,"None"
"Emmersons","E",2,"None"
"Kellys","F",3,"None"
"Keenans","G",5,"None"
"Bovys","H",4,"None"
"Ravinets","I",1,"None"
"Emmersons","J",3,"None"
"Kellys","A",2,"None"
"Keenans","B",4,"None"
"Bovys","C",1,"None"
"Ravinets","D",3,"None"
"Emmersons","E",1,"None"
"Kellys","F",1,"None"
"Keenans","G",4,"None"
"Bovys","H",4,"None"
"Ravinets","I",5,"None"
"Emmersons","J",5,"None"
"Kellys","A",4,"None"
"Keenans","B",2,"None"
"Bovys","C",1,"None"
"Ravinets","D",4,"None"
"Emmersons","E",3,"None"
"Kellys","F",3,"None"
"Keenans","G",0,"None"
"Bovys","H",5,"None"
"Ravinets","I",2,"None"
"Emmersons","J",1,"None"
"Kellys","A",1,"None"
"Keenans","B",8,"None"
"Bovys","C",1,"None"
"Ravinets","D",5,"None"
"Emmersons","E",5,"None"
"Kellys","F",0,"None"
"Keenans","G",7,"None"
"Bovys","H",2,"None"
"Ravinets","I",1,"None"
"Emmersons","J",5,"None"
"Kellys","A",2,"None"
"Keenans","B",4,"None"
"Bovys","C",3,"None"
"Ravinets","D",3,"None"
"Emmersons","E",4,"None"
"Kellys","F",3,"None"
"Keenans","G",3,"None"
"Bovys","H",1,"None"
"Ravinets","I",0,"None"
"Emmersons","J",4,"None"
"Kellys","A",4,"None"
"Keenans","B",6,"None"
"Bovys","C",2,"None"
"Ravinets","D",4,"None"
"Emmersons","E",3,"None"
"Kellys","F",5,"None"
"Keenans","G",4,"None"
"Bovys","H",3,"None"
"Ravinets","I",3,"None"
"Emmersons","J",1,"None"
"Kellys","A",4,"Winter"
"Keenans","B",2,"Winter"
"Bovys","C",2,"Winter"
"Ravinets","D",0,"Winter"
"Emmersons","E",2,"Winter"
"Kellys","F",2,"Winter"
"Keenans","G",3,"Winter"
"Bovys","H",0,"Winter"
"Ravinets","I",3,"Winter"
"Emmersons","J",1,"Winter"
"Kellys","A",2,"Winter"
"Keenans","B",5,"Winter"
"Bovys","C",2,"Winter"
"Ravinets","D",4,"Winter"
"Emmersons","E",2,"Winter"
"Kellys","F",2,"Winter"
"Keenans","G",3,"Winter"
"Bovys","H",5,"Winter"
"Ravinets","I",3,"Winter"
"Emmersons","J",4,"Winter"
"Kellys","A",2,"Winter"
"Keenans","B",2,"Winter"
"Bovys","C",0,"Winter"
"Ravinets","D",0,"Winter"
"Emmersons","E",1,"Winter"
"Kellys","F",2,"Winter"
"Keenans","G",1,"Winter"
"Bovys","H",6,"Winter"
"Ravinets","I",3,"Winter"
"Emmersons","J",3,"Winter"
"Kellys","A",3,"Winter"
"Keenans","B",3,"Winter"
"Bovys","C",0,"Winter"
"Ravinets","D",2,"Winter"
"Emmersons","E",4,"Winter"
"Kellys","F",4,"Winter"
"Keenans","G",5,"Winter"
"Bovys","H",2,"Winter"
"Ravinets","I",3,"Winter"
"Emmersons","J",0,"Winter"
"Kellys","A",1,"Winter"
"Keenans","B",1,"Winter"
"Bovys","C",6,"Winter"
"Ravinets","D",1,"Winter"
"Emmersons","E",3,"Winter"
"Kellys","F",4,"Winter"
"Keenans","G",4,"Winter"
"Bovys","H",4,"Winter"
"Ravinets","I",2,"Winter"
"Emmersons","J",3,"Winter"
"Kellys","A",4,"Winter"
"Keenans","B",4,"Winter"
"Bovys","C",0,"Winter"
"Ravinets","D",6,"Winter"
"Emmersons","E",3,"Winter"
"Kellys","F",1,"Winter"
"Keenans","G",1,"Winter"
"Bovys","H",3,"Winter"
"Ravinets","I",2,"Winter"
"Emmersons","J",4,"Winter"
"Kellys","A",0,"Winter"
"Keenans","B",1,"Winter"
"Bovys","C",1,"Winter"
"Ravinets","D",1,"Winter"
"Emmersons","E",2,"Winter"
"Kellys","F",0,"Winter"
"Keenans","G",2,"Winter"
"Bovys","H",0,"Winter"
"Ravinets","I",0,"Winter"
"Emmersons","J",2,"Winter"
"Kellys","A",3,"Winter"
"Keenans","B",3,"Winter"
"Bovys","C",2,"Winter"
"Ravinets","D",1,"Winter"
"Emmersons","E",2,"Winter"
"Kellys","F",4,"Winter"
"Keenans","G",3,"Winter"
"Bovys","H",6,"Winter"
"Ravinets","I",2,"Winter"
"Emmersons","J",0,"Winter"
"Kellys","A",1,"Winter"
"Keenans","B",3,"Winter"
"Bovys","C",1,"Winter"
"Ravinets","D",3,"Winter"
"Emmersons","E",3,"Winter"
"Kellys","F",1,"Winter"
"Keenans","G",2,"Winter"
"Bovys","H",3,"Winter"
"Ravinets","I",2,"Winter"
"Emmersons","J",1,"Winter"
"Kellys","A",2,"Winter"
"Keenans","B",4,"Winter"
"Bovys","C",3,"Winter"
"Ravinets","D",4,"Winter"
"Emmersons","E",2,"Winter"
"Kellys","F",2,"Winter"
"Keenans","G",3,"Winter"
"Bovys","H",2,"Winter"
"Ravinets","I",2,"Winter"
"Emmersons","J",1,"Winter"
"Kellys","A",2,"Winter"
"Keenans","B",2,"Winter"
"Bovys","C",2,"Winter"
"Ravinets","D",3,"Winter"
"Emmersons","E",2,"Winter"
"Kellys","F",3,"Winter"
"Keenans","G",0,"Winter"
"Bovys","H",1,"Winter"
"Ravinets","I",3,"Winter"
"Emmersons","J",2,"Winter"
"Kellys","A",0,"Winter"
"Keenans","B",0,"Winter"
"Bovys","C",2,"Winter"
"Ravinets","D",2,"Winter"
"Emmersons","E",2,"Winter"
"Kellys","F",1,"Winter"
"Keenans","G",1,"Winter"
"Bovys","H",2,"Winter"
"Ravinets","I",1,"Winter"
"Emmersons","J",3,"Winter"
"Kellys","A",1,"Winter"
"Keenans","B",6,"Winter"
"Bovys","C",3,"Winter"
"Ravinets","D",3,"Winter"
"Emmersons","E",3,"Winter"
"Kellys","F",3,"Winter"
"Keenans","G",2,"Winter"
"Bovys","H",2,"Winter"
"Ravinets","I",0,"Winter"
"Emmersons","J",1,"Winter"
"Kellys","A",2,"Winter"
"Keenans","B",7,"Winter"
"Bovys","C",2,"Winter"
"Ravinets","D",4,"Winter"
"Emmersons","E",1,"Winter"
"Kellys","F",1,"Winter"
"Keenans","G",2,"Winter"
"Bovys","H",6,"Winter"
"Ravinets","I",5,"Winter"
"Emmersons","J",3,"Winter"
"Kellys","A",2,"Winter"
"Keenans","B",4,"Winter"
"Bovys","C",1,"Winter"
"Ravinets","D",2,"Winter"
"Emmersons","E",1,"Winter"
"Kellys","F",0,"Winter"
"Keenans","G",4,"Winter"
"Bovys","H",1,"Winter"
"Ravinets","I",2,"Winter"
"Emmersons","J",2,"Winter"
"Kellys","A",1,"Winter"
"Keenans","B",2,"Winter"
"Bovys","C",2,"Winter"
"Ravinets","D",2,"Winter"
"Emmersons","E",5,"Winter"
"Kellys","F",3,"Winter"
"Keenans","G",7,"Winter"
"Bovys","H",2,"Winter"
"Ravinets","I",4,"Winter"
"Emmersons","J",3,"Winter"
"Kellys","A",2,"Winter"
"Keenans","B",3,"Winter"
"Bovys","C",0,"Winter"
"Ravinets","D",3,"Winter"
"Emmersons","E",2,"Winter"
"Kellys","F",3,"Winter"
"Keenans","G",3,"Winter"
"Bovys","H",4,"Winter"
"Ravinets","I",2,"Winter"
"Emmersons","J",4,"Winter"
"Kellys","A",4,"Winter"
"Keenans","B",3,"Winter"
"Bovys","C",5,"Winter"
"Ravinets","D",3,"Winter"
"Emmersons","E",3,"Winter"
"Kellys","F",3,"Winter"
"Keenans","G",5,"Winter"
"Bovys","H",6,"Winter"
"Ravinets","I",5,"Winter"
"Emmersons","J",6,"Winter"
"Kellys","A",2,"Winter"
"Keenans","B",2,"Winter"
"Bovys","C",3,"Winter"
"Ravinets","D",3,"Winter"
"Emmersons","E",1,"Winter"
"Kellys","F",2,"Winter"
"Keenans","G",2,"Winter"
"Bovys","H",2,"Winter"
"Ravinets","I",3,"Winter"
"Emmersons","J",3,"Winter"
"Kellys","A",3,"Winter"
"Keenans","B",2,"Winter"
"Bovys","C",3,"Winter"
"Ravinets","D",2,"Winter"
"Emmersons","E",4,"Winter"
"Kellys","F",2,"Winter"
"Keenans","G",1,"Winter"
"Bovys","H",1,"Winter"
"Ravinets","I",1,"Winter"
"Emmersons","J",3,"Winter"
"Kellys","A",3,"Winter"
"Keenans","B",0,"Winter"
"Bovys","C",1,"Winter"
"Ravinets","D",1,"Winter"
"Emmersons","E",1,"Winter"
"Kellys","F",0,"Winter"
"Keenans","G",4,"Winter"
"Bovys","H",1,"Winter"
"Ravinets","I",3,"Winter"
"Emmersons","J",1,"Winter"
"Kellys","A",2,"Winter"
"Keenans","B",2,"Winter"
"Bovys","C",1,"Winter"
"Ravinets","D",1,"Winter"
"Emmersons","E",2,"Winter"
"Kellys","F",2,"Winter"
"Keenans","G",2,"Winter"
"Bovys","H",2,"Winter"
"Ravinets","I",0,"Winter"
"Emmersons","J",5,"Winter"
"Kellys","A",3,"Winter"
"Keenans","B",4,"Winter"
"Bovys","C",2,"Winter"
"Ravinets","D",2,"Winter"
"Emmersons","E",2,"Winter"
"Kellys","F",0,"Winter"
"Keenans","G",2,"Winter"
"Bovys","H",1,"Winter"
"Ravinets","I",3,"Winter"
"Emmersons","J",1,"Winter"
"Kellys","A",2,"Winter"
"Keenans","B",4,"Winter"
"Bovys","C",1,"Winter"
"Ravinets","D",1,"Winter"
"Emmersons","E",1,"Winter"
"Kellys","F",0,"Winter"
"Keenans","G",3,"Winter"
"Bovys","H",3,"Winter"
"Ravinets","I",2,"Winter"
"Emmersons","J",2,"Winter"
"Kellys","A",2,"Winter"
"Keenans","B",1,"Winter"
"Bovys","C",3,"Winter"
"Ravinets","D",2,"Winter"
"Emmersons","E",4,"Winter"
"Kellys","F",3,"Winter"
"Keenans","G",3,"Winter"
"Bovys","H",5,"Winter"
"Ravinets","I",3,"Winter"
"Emmersons","J",4,"Winter"
"Kellys","A",2,"Intensive"
"Keenans","B",2,"Intensive"
"Bovys","C",2,"Intensive"
"Ravinets","D",1,"Intensive"
"Emmersons","E",1,"Intensive"
"Kellys","F",0,"Intensive"
"Keenans","G",0,"Intensive"
"Bovys","H",1,"Intensive"
"Ravinets","I",2,"Intensive"
"Emmersons","J",0,"Intensive"
"Kellys","A",1,"Intensive"
"Keenans","B",1,"Intensive"
"Bovys","C",1,"Intensive"
"Ravinets","D",1,"Intensive"
"Emmersons","E",5,"Intensive"
"Kellys","F",0,"Intensive"
"Keenans","G",1,"Intensive"
"Bovys","H",0,"Intensive"
"Ravinets","I",1,"Intensive"
"Emmersons","J",1,"Intensive"
"Kellys","A",0,"Intensive"
