Full_code,Quadrat,Burnt,Habitat,date2,altitude,Time,Wind,Meadow_pipit
CH,CH252,N,Bog,206,332,16,0,0
CH,CH253,N,Bog,206,348,15,1,0
CH,CH256,N,Bog,242,396,14,3,0
CH,CH257,N,Bog,242,368,15.33,3,1
CH,CH265,N,Bog,206,314,13,1,2
CH,CH270,N,Bog,242,392,13,3,0
CH,CH276,N,Bog,206,313,11.66,2,0
CH,CH282,N,WH,242,351,11.3,3,4
CH,CH287,Y,Bog,207,285,12,1,0
CH,CH291,Y,Bog,243,330,17,3,0
CH,CH291A,N,DH,243,340,16,3,6
CH,CH292,Y,Bog,242,306,10,3,8
CH,CH295,Y,WH,207,239,18,1,0
CH,CH296,Y,Bog,207,262,16.6,2,0
CH,CH296A,Y,DH,207,257,15.8,2,0
CH,CH298,Y,Bog,243,296,13.8,3,5
CH,CH298A,Y,DH,243,291,15,2,1
CH,CH301,N,DH,207,198,14,2,0
EM,EM103,N,Bog,219,377,13.66,2,0
EM,EM122,Y,WH,174,302,12,1,3
EM,EM123,N,WH,174,295,13.66,1,0
EM,EM124,Y,DH,174,328,15.75,1,0
EM,EM134,N,DH,279,392,15,1,0
EM,EM139,N,DH,180,286,15,1,1
EM,EM142,Y,WH,181,250,16.5,1,3
EM,EM143,Y,WH,181,282,15,1,1
EM,EM144,Y,WH,181,309,12.5,1,3
EM,EM157,N,WH,215,202,12,1,0
EM,EM160,Y,DH,175,309,14,1,3
EM,EM162,Y,DH,175,365,16,1,1
EM,EM175,Y,WH,214,222,17.5,2,0
EM,EM176,Y,DH,217,337,14.33,2,0
EM,EM177,Y,DH,217,380,17.33,2,0
EM,EM178,Y,DH,217,338,16.33,2,0
EM,EM190,N,WH,214,214,16,1,0
EM,EM193,Y,DH,230,480,14.1,3,0
EM,EM194,Y,DH,230,466,15,4,0
EM,EM208,N,WH,185,231,14.5,2,1
EM,EM209,N,WH,196,310,16,2,2
EM,EM210,Y,WH,196,361,17,2,0
EM,EM212,N,DH,230,409,17,3,0
EM,EM213,N,DH,230,488,16,3,0
EM,EM227,N,WH,232,312,13,2,0
EM,EM229,N,WH,232,395,17.33,1,1
EM,EM245,N,DH,232,420,14.8,1,0
EM,EM246,N,DH,232,524,16.5,2,0
EM,EM73,Y,WH,229,377,16.66,3,0
EM,EM74,Y,WH,229,417,16,3,0
EM,EM79,N,WH,219,320,12.33,1,1
EM,EM91,N,DH,180,554,17.5,3,1
EM,EM92,Y,WH,180,478,16.33,3,0
EM,EM95,Y,DH,229,315,14,2,0
GR,GR20,Y,Bog,200,195,15.5,3,1
GR,GR21,Y,Bog,200,207,14,2,2
GR,GR23,Y,Bog,200,184,16.5,2,0
GR,GR24,Y,Bog,200,215,13,1,0
GR,GR26,Y,WH,200,184,18,2,2
GR,GR27,Y,Bog,200,211,12,1,4
GR,GR3 ,Y,Bog,201,237,11.66,2,1
GR,GR34,Y,Bog,201,242,15.33,2,0
GR,GR5,N,Bog,201,245,13,2,0
GR,GR6,Y,Bog,201,241,16.33,1,0
GR,GR8,N,Bog,201,244,14,2,0
MN,MNB,Y,DH,254,391,13,3,1
MN,MNB102,Y,Bog,254,426,15.33,3,0
MN,MNB103,Y,Bog,254,411,16.5,3,0
MN,MNB110,Y,Bog,250,494,15,3,0
MN,MNB112,Y,Bog,257,441,15.1,4,0
MN,MNB121,Y,Bog,269,492,16.5,4,0
MN,MNB129,N,Bog,269,498,15,3,0
MN,MNB130,N,Bog,258,464,16.15,1,2
MN,MNB131,N,Bog,255,428,16.8,3,0
MN,MNB133,Y,Bog,257,370,16.1,4,0
MN,MNB139,N,Bog,248,503,16,1,3
MN,MNB142,N,Bog,257,363,17,2,1
MN,MNB149,N,Bog,248,505,16.5,1,1
MN,MNB150,N,Bog,285,421,13,3,0
MN,MNB151,N,Bog,255,371,15.25,3,0
MN,MNB161,N,Bog,255,402,14.5,3,8
MN,MNB4,Y,Bog,257,218,13,4,1
MN,MNB7,N,DH,250,224,16.5,3,3
MN,MNB72,Y,Bog,250,434,13,2,4
MN,MNB86,Y,Bog,250,432,14,2,2
SA,SA106,N,Bog,191,325,12.3,2,0
SA,SA107,N,Bog,187,319,16.34,3,0
SA,SA108,N,Bog,221,302,13.3,0,0
SA,SA109,Y,Bog,196,306,15.3,2,1
SA,SA121,N,Bog,221,332,11.3,0,1
SA,SA122,Y,Bog,196,300,16.4,2,0
SA,SA154,Y,Bog,197,301,12.5,2,0
SA,SA169,Y,Bog,197,333,13.4,1,6
SA,SA31,Y,Bog,221,241,16.3,2,0
SA,SA53,Y,Bog,221,295,18,1,0
SA,SA68,Y,Bog,191,316,17,2,4
SA,SA81,N,Bog,187,294,14.45,3,7
SA,SA82,N,Bog,187,291,16.3,2,2
SA,SA83,Y,Bog,191,311,15,2,1
SA,SA84,Y,Bog,197,334,15,1,5
SA,SA85,Y,Bog,197,352,16,2,0
SA,SA94,N,Bog,187,307,13.05,3,5
SA,SA95,N,Bog,187,303,18,2,2
SA,SA97,Y,Bog,197,325,17,2,0
SH,SH1,N,Bog,276,232,13.5,2,0
SH,SH102,Y,Bog,228,271,15.5,4,1
SH,SH103,Y,Bog,228,289,16.33,4,0
SH,SH104,Y,Bog,240,309,15.33,4,0
SH,SH121,Y,Bog,228,273,14.33,4,0
SH,SH13,N,Bog,276,276,16,1,4
SH,SH14,N,Bog,208,292,15,4,4
SH,SH15,N,Bog,212,279,11,2,7
SH,SH186,Y,Bog,270,314,13.5,1,2
SH,SH191,Y,Bog,270,313,14.66,2,0
SH,SH198D,Y,Bog,225,345,15,3,2
SH,SH22,N,Bog,276,260,15.75,2,0
SH,SH23 ,N,Bog,208,289,16,3,9
SH,SH24,N,Bog,278,282,17,2,0
SH,SH32,N,Bog,212,252,12,3,1
SH,SH5,N,Bog,208,271,13.8,4,0
SH,SH6,N,Bog,278,262,13,2,1
SH,SH66,Y,Bog,275,278,15,2,0
SH,SH85,Y,Bog,240,297,16.33,4,0
SH,SH99,Y,Bog,225,322,16,2,0
