Site,Site_code,Burnt,Habitat,date2,altitude,Barbilophozia,Bartramia,Calliergonella,Calypogeia,Cephalozia,Cephaloziella,Campylopus_all,Ceratodon,Crateneuron folicinium,Dicranella,Dicranum,Diplophyllum,Entodon,Gymnocolea,Hylocomium splendens,Hypnum,Juggermania,Leucobryum,Lophocolea_bidentata,Microlejeunea,Odontoschisma,Orthodontium,Pleurozium scheberi,Polytrichium,Pogonatum,Racomitrum languinosum,Rhytiadelphis loreus,Sphagnum,Cladonia_sp,Thuidium,Dung
CH,CH252,N,Bog,206,332,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,69,0,0,Rare
CH,CH253,N,Bog,206,348,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Frequent
CH,CH256,N,Bog,242,396,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,None
CH,CH257,N,Bog,242,368,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,None
CH,CH265,N,Bog,206,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0.5,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,None
CH,CH270,N,Bog,242,392,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Occaisional
CH,CH276,N,Bog,206,313,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,24,0,0,None
CH,CH282,N,WH,242,351,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,5,0,0,53,50,0,0,Rare
CH,CH287,Y,Bog,207,285,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,Abundant
CH,CH291,Y,Bog,243,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Abundant
CH,CH291A,N,DH,243,340,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frequent
CH,CH292,Y,Bog,242,306,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,59,0,0,Rare
CH,CH295,Y,WH,207,239,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,17,0,0,Occaisional
CH,CH296,Y,Bog,207,262,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Frequent
CH,CH296A,Y,DH,207,257,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,Abundant
CH,CH298,Y,Bog,243,296,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
CH,CH298A,Y,DH,243,291,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,Abundant
CH,CH301,N,DH,207,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,None
EM,EM103,N,Bog,219,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,None
EM,EM122,Y,WH,174,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rare
EM,EM123,N,WH,174,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
